pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	ChXZiosryoSishieng	ChXZiosryoXrynmyuk	ChXZiosryoSieuxryn	ChXDzankryenlyi	ChXDzankryen	ChXPyanchet	ChXPyanchetPotyo	XXPyanchet	XXPyanchetPotyo	KXPyanchet	KXPyanchetPotyo	DzXPyanchet	DzXPyanchetPotyo	QhZQhShienglyi	QhZQhXrynlyi	QhZQhDeuyi	thongqitmra
086E9-kyong2	蛩		kyóŋ	kyong2	2	2	13	2	"[""切三""]"	null		null		null		古勇切		見	腫	上	U+86E9
086ED-det4	蛭		det	det4	4	14	10	2	"[""切三""]"	null		null		null		徒結切		端	屑	入	U+86ED
086ED-tet4	蛭		tet	tet4	4	14	23	2	"[""切三""]"	null		丁結反		丁結切				null	null	null	U+86ED
086ED-tit4	蛭		tit	tit4	4	5	1	2	"[""切三""]"	之日反		之日反		之日切				章	質	入	U+86ED
086ED-trit4	蛭		trit	trit4	4	5	null	2	"[""切三""]"	null		null		丁悉切				null	null	null	U+86ED
086F8-sieu1	蛸		sieu	sieu1	1	30	1	2	"[""切三""]"	相焦反		相焦反		相邀切				心	宵	平	U+86F8
086F8-srau1	蛸		srau	srau1	1	31	5	2	"[""切三""]"	所交反		所交反		所交切				生	肴	平	U+86F8
086F9-jyong2	蛹		jyóŋ	jyong2	2	2	10	2	"[""切三""]"	餘隴反		餘隴反		余隴切				以	腫	上	U+86F9
086FE-nga1	蛾		ŋa	nga1	1	33	17	2	"[""切三""]"	五哥反		五歌反		五何切				疑	歌	平	U+86FE
086FE-ngrie2	蛾		ŋrié	ngrie2	2	4	16	2	"[""切三""]"	null		null		魚倚切				疑	紙	上	U+86FE
08701-zyen1	蜁		zyen	zyen1	1	28	27	2	"[""切三""]"	null		null		似宣切				null	null	null	U+8701
08706-khen3	蜆		khên	khen3	3	30	11	0	"[""藤田2018""]"	null		null		苦甸切				null	null	null	U+8706
08706-qhen2	蜆		qhén	qhen2	2	25	8	2	"[""切三""]"	呼典反		呼典反		呼典切				曉	銑	上	U+8706
08706-xen1	蜆		xen	xen1	1	27	7	2	"[""切三""]"	null		胡千反		null				null	null	null	U+8706
08706-xen2	蜆		xén	xen2	2	25	7	2	"[""切三""]"	null		null		胡典切				匣	銑	上	U+8706
08708-ngo1	蜈		ŋo	ngo1	1	11	8	1	"[""P3695""]"	五胡反		五胡反		五乎切				疑	模	平	U+8708
08709-byu1	蜉		byu	byu1	1	43	30	2	"[""切三""]"	薄謀反		薄謀反		縛謀切				奉	尤	平	U+8709
0870B-lang1	蜋		laŋ	lang1	1	38	2	2	"[""切三""]"	魯當反		魯當反		魯當切				來	唐	平	U+870B
0870B-liang1	蜋		liaŋ	liang1	1	37	3	2	"[""切三""]"	吕張反		吕張反		吕張切				null	null	null	U+870B
0870D-dio1	蜍		dio	dio1	1	9	23	2	"[""切三""]"	署魚反		〼〼〼	《王三》魚韵脱反脱字，《王一》無本。	署魚切				禪	魚	平	U+870D
0870D-jio1	蜍		jio	jio1	1	9	6	2	"[""切三""]"	与魚反		与魚反		以諸切				null	null	null	U+870D
08729-deu1	蜩		deu	deu1	1	29	4	2	"[""切三""]"	徒聊反		徒聊反		徒聊切				定	蕭	平	U+8729
0872B-kun1	蜫		kun	kun1	1	22	2	2	"[""切三""]"	古渾反		古渾反		古渾切				null	null	null	U+872B
08730-byui1	蜰		byui	byui1	1	8	6	2	"[""切三""]"	null		符非反		符非切				null	null	null	U+8730
08730-pyui2	蜰		pyúi	pyui2	2	7	6	2	"[""切三""]"	null		null		府尾切				null	null	null	U+8730
0873B-cheng1	蜻		cheŋ	cheng1	1	42	1	2	"[""切三""]"	null		null		倉經切				清	青	平	U+873B
0873B-cieng1	蜻		cieŋ	cieng1	1	41	3	2	"[""切三""]"	子情反		子清反		子盈切				null	null	null	U+873B
08757-xruang1	蝗		xruaŋ	xruang1	1	39	4	2	"[""切三""]"	胡盲反		胡盲反		户盲切				null	null	null	U+8757
08757-xruang3	蝗		xruâŋ	xruang3	3	42	11	0	"[""藤田2018""]"	户孟反		户孟反	《王一》户孟反，《王三》胡孟反。	户孟切				null	null	null	U+8757
08757-xuang1	蝗		xuaŋ	xuang1	1	38	9	2	"[""切三""]"	胡光反		胡光反		胡光切				匣	唐	平	U+8757
0875F-xyui3	蝟		xyûi	xyui3	3	8	3	0	"[""藤田2018""]"	云貴反		云貴反		于貴切				云	未	去	U+875F
08760-pyuk4	蝠		pyuk	pyuk4	4	1	18	2	"[""切三""]"	方六反		方六反		方六切				非	屋	入	U+8760
08763-jyu1	蝣		jyu	jyu1	1	43	5	2	"[""切三""]"	以周反		以周反		以周切				以	尤	平	U+8763
08772-lat4	蝲		lat	lat4	4	11	22	2	"[""切三""]"	null		null		盧達切				來	曷	入	U+8772
08774-xo1	蝴		xo	xo1	1	11	3	1	"[""P3695&P3696(p13)""]"	null		null		null		null		匣	模	平	U+8774
08776-dep4	蝶		dep	dep4	4	25	5	2	"[""切三"", ""P3799""]"	徒協反		徒協反		徒協切				定	帖	入	U+8776
08776-thep4	蝶		thep	thep4	4	25	1	2	"[""切三""]"	null		null		他協切				null	null	null	U+8776
08782-lang1	螂		laŋ	lang1	1	38	2	2	"[""切三""]"	null		null		null		null		來	唐	平	U+8782
08783-bang1	螃		baŋ	bang1	1	38	20	2	"[""切三""]"	null		null		步光切				null	null	null	U+8783
08783-pang2	螃		páŋ	pang2	2	36	4	2	"[""切三""]"	null		博朗反		北朗切				null	null	null	U+8783
08783-pang3	螃		pâŋ	pang3	3	41	11	0	"[""藤田2018""]"	補曠反		補曠反		補曠切				null	null	null	U+8783
08788-ngyan1	螈		ŋyan	ngyan1	1	21	1	2	"[""切三""]"	null		null		null		愚袁切		疑	元	平	U+8788
0878D-jyung1	融		jyuŋ	jyung1	1	1	11	3	"[""切二""]"	餘隆反		餘隆反		以戎切				以	東	平	U+878D
08797-dang1	螗		daŋ	dang1	1	38	1	2	"[""切三""]"	徒郎反		徒郎反		徒郎切				定	唐	平	U+8797
087A3-drim2	螣		drím	drim2	2	44	2	2	"[""切三""]"	null		null		直稔切				null	null	null	U+87A3
087A3-dwk4	螣		dək	dwk4	4	30	6	0	"[""藤田2018""]"	null		null		徒得切				定	德	入	U+87A3
087A3-dwng1	螣		dəŋ	dwng1	1	50	13	2	"[""切三""]"	徒登反		徒登反		徒登切				定	登	平	U+87A3
087AB-shiek4	螫		shiek	shiek4	4	17	5	2	"[""切三""]"	∅隻反		施隻反		施隻切				書	昔	入	U+87AB
087AF-ngau1	螯		ŋau	ngau1	1	32	13	2	"[""切三""]"	五勞反		五勞反		五勞切				疑	豪	平	U+87AF
087B2-tet4	螲		tet	tet4	4	14	23	2	"[""切三""]"	null		null		null		丁結切		null	null	null	U+87B2
087B2-trit4	螲		trit	trit4	4	5	16	2	"[""切三""]"	null		陟栗反		陟栗切				null	null	null	U+87B2
087BD-tyung1	螽		tyuŋ	tyung1	1	1	5	3	"[""切二""]"	職隆反		職隆反		職戎切				章	東	平	U+87BD
087BF-ciang1	螿		ciaŋ	ciang1	1	37	16	2	"[""切三""]"	即良反		即良反		即良切				null	null	null	U+87BF
087C2-keu1	蟂		keu	keu1	1	29	5	2	"[""切三""]"	古堯反		古堯反		古堯切				null	null	null	U+87C2
087E3-giwi1	蟣		giəi	giwi1	1	8	8	2	"[""切三""]"	null		null		渠希切				群	微	平	U+87E3
087E3-kiwi2	蟣		kiə́i	kiwi2	2	7	4	2	"[""切三""]"	居狶反		居俙反		居狶切				見	尾	上	U+87E3
087E5-xuang1	蟥		xuaŋ	xuang1	1	38	9	2	"[""切三""]"	胡光反		胡光反		胡光切				匣	唐	平	U+87E5
087F2-dong1	蟲		doŋ	dong1	1	2	2	3	"[""切二""]"	null		null		null		徒冬切		定	冬	平	U+87F2
087F2-dryung1	蟲		dryuŋ	dryung1	1	1	4	3	"[""切二""]"	直隆反		直隆反		直弓切				澄	東	平	U+87F2
087F2-dryung3	蟲		dryûŋ	dryung3	3	1	12	3	"[""P3696(1)r""]"	null		null		直衆切				null	null	null	U+87F2
087FA-da1	蟺		da	da1	1	33	15	2	"[""切三""]"	null		null		null		唐何切		null	null	null	U+87FA
087FA-dien2	蟺		dién	dien2	2	26	10	2	"[""切三""]"	null		常演反		常演切				null	null	null	U+87FA
087FA-dien3	蟺		diên	dien3	3	31	3	0	"[""藤田2018""]"	null		null		null		null		null	null	null	U+87FA
087FB-ngrie2	蟻		ŋrié	ngrie2	2	4	16	2	"[""切三""]"	魚倚反		魚倚反		魚倚切				疑	紙	上	U+87FB
08806-thrai3	蠆		thrâi	thrai3	3	17	9	3	"[""P3696(1)v""]"	丑芥反		丑芥反		丑犗切				徹	夬	去	U+8806
0881F-lap4	蠟		lap	lap4	4	21	2	2	"[""切三""]"	〼〼〼	《切三》盧盍反脱字，《藤田2018》盧盍反。	盧盍反		盧盍切				來	盍	入	U+881F
08823-liei3	蠣		liêi	liei3	3	14	25	3	"[""P3696(1)v""]"	力制反		力制反		力制切				來	祭	去	U+8823
08831-jia2	蠱		jiá	jia2	2	32	3	2	"[""切三""]"	null		null		null		以者切		null	null	null	U+8831
08831-ko2	蠱		kó	ko2	2	10	6	2	"[""切三""]"	姑户反		姑户反		公户切				見	姥	上	U+8831
08839-to3	蠹		tô	to3	3	11	4	0	"[""藤田2018""]"	當故反		當故反		當故切				端	暮	去	U+8839
08841-qhuang1	衁		qhuaŋ	qhuang1	1	38	8	2	"[""切三""]"	呼光反		呼光反		呼光切				null	null	null	U+8841
08846-tyung1	衆		tyuŋ	tyung1	1	1	5	3	"[""切二""]"	職隆反		職隆反		職戎切				null	null	null	U+8846
08846-tyung3	衆		tyûŋ	tyung3	3	1	23	3	"[""P3696(1)r""]"	之仲反		之仲反		之仲切				章	送	去	U+8846
0884C-xang1	行		xaŋ	xang1	1	38	16	2	"[""切三""]"	胡郎反		胡郎反		胡郎切				匣	唐	平	U+884C
0884C-xang3	行		xâŋ	xang3	3	41	3	0	"[""藤田2018""]"	null		下浪反		下浪切				匣	宕	去	U+884C
0884C-xrang1	行		xraŋ	xrang1	1	39	27	2	"[""切三""]"	户庚反		户庚反		户庚切				匣	庚	平	U+884C
0884C-xrang3	行		xrâŋ	xrang3	3	42	14	0	"[""藤田2018""]"	胡孟反		胡孟反		下更切				匣	映	去	U+884C
0884E-khan2	衎		khán	khan2	2	22	24	1	"[""切一""]"	null		null		空旱切				null	null	null	U+884E
0884E-khan3	衎		khân	khan3	3	27	24	3	"[""S6176r""]"	□□□	《藤田2018》苦旦反。	苦旦反		苦旰切				溪	翰	去	U+884E
08852-xuen3	衒		xuên	xuen3	3	30	4	0	"[""藤田2018""]"	黄練反		黄練反		黄練切				匣	霰	去	U+8852
08853-zhyt4	術		zhyt	zhyt4	4	5	28	2	"[""切三""]"	食聿反		食聿反		食聿切				船	術	入	U+8853
08853-zyi3	術		zŷi	zyi3	3	6	4	0	"[""藤田2018""]"	null		null		null		徐醉切		null	null	null	U+8853
08855-dung1	衕		duŋ	dung1	1	1	2	3	"[""切二""]"	null		徒紅反		徒紅切				null	null	null	U+8855
08855-dung3	衕		dûŋ	dung3	3	1	10	3	"[""P3696(1)r""]"	徒弄反		徒弄反		徒弄切				定	送	去	U+8855
08856-lung3	衖		lûŋ	lung3	3	1	4	3	"[""P3696(1)r""]"	null		null		null		null		null	null	null	U+8856
08856-xrong3	衖		xrôŋ	xrong3	3	4	2	3	"[""P3696(1)r""]"	null		胡降反		胡絳切				匣	絳	去	U+8856
08859-ngio1	衙		ŋio	ngio1	1	9	1	2	"[""切三""]"	null		null		語居切				疑	魚	平	U+8859
08859-ngio2	衙		ŋió	ngio2	2	8	1	2	"[""切三""]"	魚舉反		魚舉反		魚巨切				null	null	null	U+8859
08859-ngio3	衙		ŋiô	ngio3	3	9	1	0	"[""藤田2018""]"	null		null		null		牛據切		null	null	null	U+8859
08859-ngra1	衙		ŋra	ngra1	1	34	20	2	"[""切三""]"	五加反		五加反		五加切				疑	麻	平	U+8859
08859-ngra3	衙		ŋrâ	ngra3	3	37	5	2	"[""S6176v""]"	null		null		null		null		null	null	null	U+8859
0885A-xo1	衚		xo	xo1	1	11	3	1	"[""P3695&P3696(p13)""]"	null		null		null		null		匣	模	平	U+885A
0885B-xryei3	衛		xryêi	xryei3	3	14	3	3	"[""P3696(1)v""]"	羽劌□		爲劌反		于歲切				云	祭	去	U+885B
08861-xrang1	衡		xraŋ	xrang1	1	39	27	2	"[""切三""]"	户庚反		户庚反		户庚切				匣	庚	平	U+8861
08861-xruang1	衡		xruaŋ	xruang1	1	39	4	2	"[""切三""]"	null		null		null		胡盲切		匣	庚	平	U+8861
08862-gyo1	衢		gyo	gyo1	1	10	6	2	"[""切三""]"	其俱反		其俱反		其俱切				群	虞	平	U+8862
08863-qiwi1	衣		qiəi	qiwi1	1	8	11	2	"[""切三""]"	於機反		於機反		於希切				影	微	平	U+8863
08863-qiwi3	衣		qiə̂i	qiwi3	3	8	null	0	"[""藤田2018""]"	null		於既反		於既切				影	未	去	U+8863
0886B-sram1	衫		sram	sram1	1	52	5	2	"[""切三""]"	所銜反		所銜反		所銜切				生	銜	平	U+886B
08871-griep4	衱		griep	griep4	4	24	15	2	"[""切三""]"	null		null		其輒切				null	null	null	U+8871
08871-kiap4	衱		kiap	kiap4	4	31	4	0	"[""藤田2018""]"	居怯反		居怯反		居怯切				null	null	null	U+8871
08872-nwp4	衲		nəp	nwp4	4	20	10	2	"[""切三""]"	null		null		奴荅切				泥	合	入	U+8872
08875-nit4	衵		nit	nit4	4	5	2	2	"[""切三""]"	null		null		人質切				null	null	null	U+8875
08875-nrit4	衵		nrit	nrit4	4	5	10	2	"[""切三""]"	尼質反		尼質反		尼質切				娘	質	入	U+8875
08877-tryung1	衷		tryuŋ	tryung1	1	1	3	3	"[""切二""]"	陟隆反		陟隆反		陟弓切				知	東	平	U+8877
08877-tryung3	衷		tryûŋ	tryung3	3	1	20	3	"[""P3696(1)r""]"	陟仲反		陟仲反		陟仲切				知	送	去	U+8877
0887E-khrim1	衾		khrim	khrim1	1	46	18	2	"[""S6187""]"	去音反		去音反		去金切				溪	侵	平	U+887E
0887F-grim3	衿		grîm	grim3	3	49	6	2	"[""P3694r""]"	null		null		null		巨禁切		群	沁	去	U+887F
0887F-krim1	衿		krim	krim1	1	46	21	2	"[""S6187""]"	居音反		居音反		居吟切				見	侵	平	U+887F
08881-xyan1	袁		xyan	xyan1	1	21	2	2	"[""切三""]"	韋元反		韋元反		雨元切				云	元	平	U+8881
08888-kra1	袈		kra	kra1	1	34	13	2	"[""切三""]"	古牙反		古牙反		古牙切				見	麻	平	U+8888
0888C-bau1	袌		bau	bau1	1	32	9	2	"[""切三""]"	null		null		薄褒切				null	null	null	U+888C
0888C-bau2	袌		báu	bau2	2	30	2	2	"[""切三""]"	null		null		null		簿皓切		null	null	null	U+888C
0888C-bau3	袌		bâu	bau3	3	35	9	0	"[""藤田2018""]"	null		薄報反		薄報切				null	null	null	U+888C
0888D-bau1	袍		bau	bau1	1	32	9	2	"[""切三""]"	薄褒反		薄褒反		薄褒切				並	豪	平	U+888D
08892-dan2	袒		dán	dan2	2	22	16	2	"[""切三""]"	徒旱反		徒旱反		徒旱切				定	旱	上	U+8892
08892-dren3	袒		drên	dren3	3	29	8	0	"[""藤田2018""]"	大莧反		大莧反		丈莧切				null	null	null	U+8892
08896-zyu3	袖		zyû	zyu3	3	46	7	2	"[""P3694r""]"	似祐反		似祐反		似祐切				邪	宥	去	U+8896
088A0-drit3	袠		drit	drit3	3	5	4	2	"[""切三""]"	直質反		直質反		直一切				澄	質	入	U+88A0
088A2-byan1	袢		byan	byan1	1	21	5	2	"[""切三""]"	null		附袁反		附袁切				奉	元	平	U+88A2
088B7-khrep4	袷		khrep	khrep4	4	22	2	2	"[""切三""]"	null		null		null		null		null	null	null	U+88B7
088B7-kiap4	袷		kiap	kiap4	4	31	4	0	"[""藤田2018""]"	null		null		居怯切				見	業	入	U+88B7
088B7-krep4	袷		krep	krep4	4	22	3	0	"[""藤田2018""]"	null		null		古洽切				見	洽	入	U+88B7
088BA-ket4	袺		ket	ket4	4	14	3	2	"[""切三""]"	null		古屑反		古屑切				見	屑	入	U+88BA
088BA-kret4	袺		kret	kret4	4	12	12	2	"[""切三""]"	null		古黠反		古黠切				null	null	null	U+88BA
088BD-nrio1	袽		nrio	nrio1	1	9	24	2	"[""切三""]"	女余反		女余反		女余切				娘	魚	平	U+88BD
088BF-kuei1	袿		kuei	kuei1	1	12	21	2	"[""切三""]"	□携反		古携反		古携切				見	齊	平	U+88BF
088C0-qin1	裀		qin	qin1	1	17	9	2	"[""切三""]"	null		於鄰反		於真切				影	真	平	U+88C0
088C2-liet4	裂		liet	liet4	4	15	2	2	"[""切三""]"	吕薛反		吕結反		良薛切				來	薛	入	U+88C2
088CE-drieng1	裎		drieŋ	drieng1	1	41	10	0	"[""藤田2018""]"	直貞反		直貞反		直貞切				澄	清	平	U+88CE
088CE-thrieng2	裎		thriéŋ	thrieng2	2	39	3	2	"[""切三""]"	null		丑郢反		丑郢切				徹	静	上	U+88CE
088CF-liw2	裏		liə́	liw2	2	6	10	2	"[""切三"", ""TIVK75-100br""]"	良士反		良士反		良士切				來	止	上	U+88CF
088D2-bu1	裒		bu	bu1	1	44	null	2	"[""切三""]"	null		蒲溝反		薄侯切				並	侯	平	U+88D2
088D2-pau1	裒		pau	pau1	1	32	10	2	"[""切三""]"	null		null		null		博毛切		null	null	null	U+88D2
088D4-jiei3	裔		jiêi	jiei3	3	14	21	3	"[""P3696(1)v""]"	餘制反		餘制反		餘制切				以	祭	去	U+88D4
088D8-gyu1	裘		gyu	gyu1	1	43	29	2	"[""切三""]"	巨鳩反		巨鳩反		巨鳩切				群	尤	平	U+88D8
088D9-gyun1	裙		gyun	gyun1	1	19	6	2	"[""切三""]"	渠云反		渠云反		渠云切				群	文	平	U+88D9
088DB-qiap4	裛		qiap	qiap4	4	31	5	2	"[""P4746""]"	□□□	《藤田2018》於劫反。	於業反		於業切				影	業	入	U+88DB
088DB-qriep4	裛		qriep	qriep4	4	24	8	2	"[""切三""]"	於輒反		null		於輒切				影	葉	入	U+88DB
088DB-qrip4	裛		qrip	qrip4	4	26	22	2	"[""切三"", ""P3799""]"	英及反		英及反		於汲切				影	緝	入	U+88DB
088DD-criang1	裝		criaŋ	criang1	1	37	21	2	"[""切三""]"	側羊反		側羊反		側羊切				莊	陽	平	U+88DD
088DD-criang3	裝		criâŋ	criang3	3	40	14	2	"[""S6176v""]"	側亮反		側亮反		側亮切				null	null	null	U+88DD
088EF-dryo1	裯		dryo	dryo1	1	10	25	2	"[""切三""]"	null		null		直誅切				null	null	null	U+88EF
088EF-dryu1	裯		dryu	dryu1	1	43	27	2	"[""切三""]"	直由□		直由反		直由切				澄	尤	平	U+88EF
088EF-tau1	裯		tau	tau1	1	32	7	2	"[""切三""]"	都勞反		都勞反		都牢切				端	豪	平	U+88EF
088FE-kio1	裾		kio	kio1	1	9	4	2	"[""切三""]"	舉魚反		舉魚反		九魚切				見	魚	平	U+88FE
088FE-kio3	裾		kiô	kio3	3	9	3	0	"[""藤田2018""]"	null		null		null		居御切		null	null	null	U+88FE
08912-pau1	褒		pau	pau1	1	32	10	2	"[""切三""]"	博毛反		博毛反		博毛切				幫	豪	平	U+8912
08913-pau2	褓		páu	pau2	2	30	15	2	"[""切三""]"	博抱反		博抱反		博抱切				幫	皓	上	U+8913
08916-thuan3	褖		thuân	thuan3	3	27	6	3	"[""S6176r""]"	他亂反		他亂反		通貫切				null	null	null	U+8916
0891A-thrio2	褚		thrió	thrio2	2	8	12	2	"[""切三""]"	丑吕反		丑吕反		丑吕切				徹	語	上	U+891A
0891A-tia2	褚		tiá	tia2	2	32	2	2	"[""切三""]"	null		null		null		止野切		null	null	null	U+891A
0891A-trio2	褚		trió	trio2	2	8	9	2	"[""切三""]"	丁吕反		丁吕反	《王一》丁吕反脱字，《王三》語韵脱反。	丁吕切				知	語	上	U+891A
08921-tap4	褡		tap	tap4	4	21	3	2	"[""切三""]"	null		null		都榼切				null	null	null	U+8921
08921-twp4	褡		təp	twp4	4	20	3	2	"[""切三""]"	null		null		都合切				null	null	null	U+8921
08927-khueng2	褧		khuéŋ	khueng2	2	40	14	2	"[""切三""]"	□□□	《藤田2018》口迥反。	口迥反		口迥切				溪	迥	上	U+8927
08930-khrien1	褰		khrien	khrien1	1	28	40	2	"[""切三""]"	去乹反		去乹反		去乾切				溪	仙	平	U+8930
08932-kho3	褲		khô	kho3	3	11	16	0	"[""藤田2018""]"	null		null		null		null		溪	暮	去	U+8932
0893B-siet4	褻		siet	siet4	4	15	1	2	"[""切三""]"	私列反		〼〼〼	《王三》誤作“私結反”，《王一》無本。	私列切				心	薛	入	U+893B
08941-kiang2	襁		kiáŋ	kiang2	2	35	14	1	"[""P4917""]"	〼〼〼	《P4917》誤作“居反兩反”，《切三》居兩反。	居兩反		居兩切				見	養	上	U+8941
08947-kren3	襇		krên	kren3	3	29	1	0	"[""藤田2018""]"	古莧反		古莧反		古莧切				見	襇	去	U+8947
0895A-zyi3	襚		zŷi	zyi3	3	6	4	0	"[""藤田2018""]"	徐醉反		徐醉反		徐醉切				邪	至	去	U+895A
0895F-krim1	襟		krim	krim1	1	46	21	2	"[""S6187""]"	居音反		居音反		居吟切				見	侵	平	U+895F
08962-dan2	襢		dán	dan2	2	22	16	2	"[""切三""]"	null		null		徒旱切				定	旱	上	U+8962
08962-trien2	襢		trién	trien2	2	26	5	2	"[""切三""]"	null		null		知演切				null	null	null	U+8962
08962-trien3	襢		triên	trien3	3	31	11	0	"[""藤田2018""]"	陟扇反		陟扇反		陟扇切				知	線	去	U+8962
08964-lam1	襤		lam	lam1	1	36	5	2	"[""切三""]"	盧甘反		盧甘反		魯甘切				來	談	平	U+8964
08966-nyo1	襦		nyo	nyo1	1	10	7	2	"[""切三""]"	日朱反		日朱反		人朱切				日	虞	平	U+8966
0896B-shiek4	襫		shiek	shiek4	4	17	5	2	"[""切三""]"	null		null		施隻切				null	null	null	U+896B
0896D-xet4	襭		xet	xet4	4	14	12	2	"[""切三""]"	胡結反		胡結反		胡結切				匣	屑	入	U+896D
0897F-sei1	西		sei	sei1	1	12	12	2	"[""切三""]"	索嵇反		素鷄反		先稽切				心	齊	平	U+897F
0898B-ken3	見		kên	ken3	3	30	9	0	"[""藤田2018""]"	古電反		古電反		古電切				見	霰	去	U+898B
0898B-kren3	見		krên	kren3	3	29	1	0	"[""藤田2018""]"	null		null		null		居莧切		null	null	null	U+898B
0898B-xen3	見		xên	xen3	3	30	12	0	"[""藤田2018""]"	null		null		胡甸切				匣	霰	去	U+898B
0898F-kye1	規		kye	kye1	1	5	49	2	"[""切三""]"	居隨反		居隨反		居隋切				見	支	平	U+898F
0898F-kye3	規		kyê	kye3	3	5	null	0	"[""藤田2018""]"	null		null		null		規恚切		null	null	null	U+898F
089AC-kri3	覬		krî	kri3	3	6	26	0	"[""藤田2018""]"	几利反		几利反		几利切				見	至	去	U+89AC
089B2-grin3	覲		grîn	grin3	3	21	18	3	"[""S6176r""]"	渠遴反		渠遴反		渠遴切				群	震	去	U+89B2
089BA-krau3	覺		krâu	krau3	3	34	2	2	"[""S6176v""]"	□□□	《藤田2018》古孝反。	古孝反		古孝切				見	效	去	U+89BA
089BA-krok4	覺		krok	krok4	4	4	1	2	"[""切三"", ""S6156v""]"	古岳反		古岳反		古岳切				見	覺	入	U+89BA
089BD-lam2	覽		lám	lam2	2	34	2	1	"[""P4917""]"	盧敢反		盧敢反		盧敢切				來	敢	上	U+89BD
089BF-dek4	覿		dek	dek4	4	16	8	2	"[""切三""]"	徒歷反		徒歷反		徒歷切				定	錫	入	U+89BF
089D3-griu1	觓		griu	griu1	1	45	2	2	"[""切三""]"	渠幽反		渠幽反		渠幽切				群	幽	平	U+89D3
089DA-ko1	觚		ko	ko1	1	11	4	1	"[""P3695&P3696(p13)""]"	古胡反		古胡反		古胡切				見	模	平	U+89DA
089E5-kruang1	觥		kruaŋ	kruang1	1	39	7	2	"[""切三""]"	古横反		古横反		古横切				見	庚	平	U+89E5
089E9-griu1	觩		griu	griu1	1	45	2	2	"[""切三""]"	渠幽反		渠幽反		渠幽切				群	幽	平	U+89E9
089F3-khrok4	觳		khrok	khrok4	4	4	11	2	"[""切三""]"	苦角反		苦角反		苦角切				溪	覺	入	U+89F3
089F3-krok4	觳		krok	krok4	4	4	1	2	"[""切三""]"	null		null		null		訖岳切		見	覺	入	U+89F3
089F3-xuk4	觳		xuk	xuk4	4	1	4	2	"[""切三""]"	null		胡谷反		胡谷切				匣	屋	入	U+89F3
089F4-shiang1	觴		shiaŋ	shiang1	1	37	5	2	"[""切三""]"	書羊反		書羊反		式羊切				書	陽	平	U+89F4
089F5-kruang1	觵		kruaŋ	kruang1	1	39	7	2	"[""切三""]"	null		古横反	《王一》古横反，《王三》古横反未收。	古横切				見	庚	平	U+89F5
089FC-kuet4	觼		kuet	kuet4	4	14	7	2	"[""切三""]"	null		□□□	《王三》古穴反未收，《王一》□□□。	古穴切				null	null	null	U+89FC
08A00-ngian1	言		ŋian	ngian1	1	21	7	2	"[""切三""]"	語軒反		語軒反		語軒切				疑	元	平	U+8A00
08A00-ngrin1	言		ŋrin	ngrin1	1	17	26	2	"[""切三""]"	null		null		null		魚巾切		疑	真	平	U+8A00
08A02-deng1	訂		deŋ	deng1	1	42	4	2	"[""切三""]"	null		null		null		唐丁切		null	null	null	U+8A02
08A02-deng2	訂		déŋ	deng2	2	40	5	2	"[""切三""]"	null		徒鼎反		徒鼎切				null	null	null	U+8A02
08A02-teng3	訂		têŋ	teng3	3	45	6	2	"[""P3694r""]"	null		null		丁定切				端	徑	去	U+8A02
08A02-theng1	訂		theŋ	theng1	1	42	11	0	"[""藤田2018""]"	他丁反		他丁反		他丁切				null	null	null	U+8A02
08A04-gyu1	訄		gyu	gyu1	1	43	29	2	"[""切三""]"	null		巨鳩反		巨鳩切				null	null	null	U+8A04
08A04-khau1	訄		khau	khau1	1	32	17	2	"[""切三""]"	null		null		苦刀切				null	null	null	U+8A04
08A04-khyu1	訄		khyu	khyu1	1	43	16	2	"[""切三""]"	null		去求反		去鳩切				null	null	null	U+8A04
08A08-kei3	計		kêi	kei3	3	13	9	3	"[""P3696(1)v""]"	古詣反		古詣反		古詣切				見	霽	去	U+8A08
08A0C-xung1	訌		xuŋ	xung1	1	1	25	2	"[""P3798""]"	胡籠反		胡籠反		户公切				匣	東	平	U+8A0C
08A0C-xung3	訌		xûŋ	xung3	3	1	21	3	"[""P3696(1)r""]"	null		null		null		胡貢切		匣	送	去	U+8A0C
08A0E-thau2	討		tháu	thau2	2	30	4	2	"[""切三""]"	他浩反		他浩反		他浩切				透	皓	上	U+8A0E
08A10-kiat4	訐		kiat	kiat4	4	9	14	2	"[""切三"", ""P3694v""]"	居謁反		居謁反		居竭切				見	月	入	U+8A10
08A10-kriei3	訐		kriêi	kriei3	3	14	28	3	"[""P3696(1)v""]"	居厲反		居厲反		居例切				null	null	null	U+8A10
08A10-kriet4	訐		kriet	kriet4	4	15	30	2	"[""切三""]"	null		null		居列切				null	null	null	U+8A10
08A13-qhyun3	訓		qhyûn	qhyun3	3	22	3	3	"[""S6176r""]"	許運反		許運反		許運切				曉	問	去	U+8A13
08A15-sran1	訕		sran	sran1	1	25	1	2	"[""切三""]"	所姦反		所姦反		所姦切				null	null	null	U+8A15
08A15-sran3	訕		srân	sran3	3	28	4	0	"[""藤田2018""]"	所晏反		所晏反		所晏切				生	諫	去	U+8A15
