pieutiwbyo	zyokdziw	tiengdziw	thongqitmraZyokdziw	thongqitmraTiengdziw
08A2708A27	訧	訧	U+8A27	U+8A27
08A2908A29	訩	訩	U+8A29	U+8A29
08A2A08A2A	訪	訪	U+8A2A	U+8A2A
08A2D08A2D	設	設	U+8A2D	U+8A2D
08A3108A31	許	許	U+8A31	U+8A31
08A3408A34	訴	訴	U+8A34	U+8A34
08A3508A35	訵	訵	U+8A35	U+8A35
08A3608A36	訶	訶	U+8A36	U+8A36
08A3908A39	訹	訹	U+8A39	U+8A39
08A3C08A3C	証	証	U+8A3C	U+8A3C
08A3D08A6C	訽	詬	U+8A3D	U+8A6C
08A4108A41	詁	詁	U+8A41	U+8A41
08A4E08A4E	詎	詎	U+8A4E	U+8A4E
08A5808A58	詘	詘	U+8A58	U+8A58
08A6008A60	詠	詠	U+8A60	U+8A60
08A6308A63	詣	詣	U+8A63	U+8A63
08A6908A69	詩	詩	U+8A69	U+8A69
08A6C08A6C	詬	詬	U+8A6C	U+8A6C
08A6E08A6E	詮	詮	U+8A6E	U+8A6E
08A7008A70	詰	詰	U+8A70	U+8A70
08A7208A72	該	該	U+8A72	U+8A72
08A7508A75	詵	詵	U+8A75	U+8A75
08A7C08A7C	詼	詼	U+8A7C	U+8A7C
08A8508A85	誅	誅	U+8A85	U+8A85
08A8608A86	誆	誆	U+8A86	U+8A86
08A8708A87	誇	誇	U+8A87	U+8A87
08A8A08B04	誊	謄	U+8A8A	U+8B04
08A8C08A8C	誌	誌	U+8A8C	U+8A8C
08A9108A91	誑	誑	U+8A91	U+8A91
08A9A08A9A	誚	誚	U+8A9A	U+8A9A
08A9E08A9E	語	語	U+8A9E	U+8A9E
08AA008AA0	誠	誠	U+8AA0	U+8AA0
08AA108AA1	誡	誡	U+8AA1	U+8AA1
08AA308AA3	誣	誣	U+8AA3	U+8AA3
08AA408AA4	誤	誤	U+8AA4	U+8AA4
08AA608AA6	誦	誦	U+8AA6	U+8AA6
08AA808AA8	誨	誨	U+8AA8	U+8AA8
08AAA08AAC	說	説	U+8AAA	U+8AAC
08AAC08AAC	説	説	U+8AAC	U+8AAC
08AAD08B80	読	讀	U+8AAD	U+8B80
08ABC08ABC	誼	誼	U+8ABC	U+8ABC
08ABE08ABE	誾	誾	U+8ABE	U+8ABE
08ABF08ABF	調	調	U+8ABF	U+8ABF
08ACB08ACB	請	請	U+8ACB	U+8ACB
08ACC08ACC	諌	諌	U+8ACC	U+8ACC
08ACD08ACD	諍	諍	U+8ACD	U+8ACD
08AD208AD2	諒	諒	U+8AD2	U+8AD2
08AD708AD7	諗	諗	U+8AD7	U+8AD7
08ADB08ADB	諛	諛	U+8ADB	U+8ADB
08ADC08ADC	諜	諜	U+8ADC	U+8ADC
08AE708AE7	諧	諧	U+8AE7	U+8AE7
08AEE08AEE	諮	諮	U+8AEE	U+8AEE
08AF308AF3	諳	諳	U+8AF3	U+8AF3
08AF808AF8	諸	諸	U+8AF8	U+8AF8
08AFA08AFA	諺	諺	U+8AFA	U+8AFA
08B0208B02	謂	謂	U+8B02	U+8B02
08B0408B04	謄	謄	U+8B04	U+8B04
08B0708B07	謇	謇	U+8B07	U+8B07
08B0C08B0C	謌	謌	U+8B0C	U+8B0C
08B0E08B0E	謎	謎	U+8B0E	U+8B0E
08B1708B17	謗	謗	U+8B17	U+8B17
08B1D08B1D	謝	謝	U+8B1D	U+8B1D
08B2608B26	謦	謦	U+8B26	U+8B26
08B3708B37	謷	謷	U+8B37	U+8B37
08B3808B37	謸	謷	U+8B38	U+8B37
08B4108B41	譁	譁	U+8B41	U+8B41
08B4608B46	譆	譆	U+8B46	U+8B46
08B4808B48	譈	譈	U+8B48	U+8B48
08B4C08B4C	譌	譌	U+8B4C	U+8B4C
08B4E08B4E	譎	譎	U+8B4E	U+8B4E
08B4F08B4F	譏	譏	U+8B4F	U+8B4F
08B5C08B5C	譜	譜	U+8B5C	U+8B5C
08B6608B66	警	警	U+8B66	U+8B66
08B7008B70	議	議	U+8B70	U+8B70
08B7508B75	譵	譵	U+8B75	U+8B75
08B8008B80	讀	讀	U+8B80	U+8B80
08B8608B86	讆	讆	U+8B86	U+8B86
08B8E08B8E	讎	讎	U+8B8E	U+8B8E
08B8F08B86	讏	讆	U+8B8F	U+8B86
08B9008B8E	讐	讎	U+8B90	U+8B8E
08B9F08B9F	讟	讟	U+8B9F	U+8B9F
08BA108A08	计	計	U+8BA1	U+8A08
08BA208A02	订	訂	U+8BA2	U+8A02
08BA508B4F	讥	譏	U+8BA5	U+8B4F
08BA608A10	讦	訐	U+8BA6	U+8A10
08BA708A0C	讧	訌	U+8BA7	U+8A0C
08BA808A0E	讨	討	U+8BA8	U+8A0E
08BAA08A15	讪	訕	U+8BAA	U+8A15
08BAB08A16	讫	訖	U+8BAB	U+8A16
08BAD08A13	训	訓	U+8BAD	U+8A13
08BAE08B70	议	議	U+8BAE	U+8B70
08BB008A18	记	記	U+8BB0	U+8A18
08BB508A4E	讵	詎	U+8BB5	U+8A4E
08BB708A25	讷	訥	U+8BB7	U+8A25
08BB808A31	许	許	U+8BB8	U+8A31
08BB908A1B	讹	訛	U+8BB9	U+8A1B
08BB908B4C	讹	譌	U+8BB9	U+8B4C
08BBB08A29	讻	訩	U+8BBB	U+8A29
08BBE08A2D	设	設	U+8BBE	U+8A2D
08BBF08A2A	访	訪	U+8BBF	U+8A2A
08BC008A23	诀	訣	U+8BC0	U+8A23
08BC208A41	诂	詁	U+8BC2	U+8A41
08BC308A36	诃	訶	U+8BC3	U+8A36
08BC908A34	诉	訴	U+8BC9	U+8A34
08BCE08A58	诎	詘	U+8BCE	U+8A58
08BD308A86	诓	誆	U+8BD3	U+8A86
08BD708A69	诗	詩	U+8BD7	U+8A69
08BD808A70	诘	詰	U+8BD8	U+8A70
08BD908A7C	诙	詼	U+8BD9	U+8A7C
08BDA08AA0	诚	誠	U+8BDA	U+8AA0
08BDB08A85	诛	誅	U+8BDB	U+8A85
08BDC08A75	诜	詵	U+8BDC	U+8A75
08BDF08A6C	诟	詬	U+8BDF	U+8A6C
08BE008A6E	诠	詮	U+8BE0	U+8A6E
08BE308A63	诣	詣	U+8BE3	U+8A63
08BE408ACD	诤	諍	U+8BE4	U+8ACD
08BE508A72	该	該	U+8BE5	U+8A72
08BEB08AA1	诫	誡	U+8BEB	U+8AA1
08BEC08AA3	诬	誣	U+8BEC	U+8AA3
08BED08A9E	语	語	U+8BED	U+8A9E
08BEE08A9A	诮	誚	U+8BEE	U+8A9A
08BEF08AA4	误	誤	U+8BEF	U+8AA4
08BF208AA8	诲	誨	U+8BF2	U+8AA8
08BF308A91	诳	誑	U+8BF3	U+8A91
08BF408AAC	说	説	U+8BF4	U+8AAC
08BF508AA6	诵	誦	U+8BF5	U+8AA6
08BF708ACB	请	請	U+8BF7	U+8ACB
08BF808AF8	诸	諸	U+8BF8	U+8AF8
08BFB08B80	读	讀	U+8BFB	U+8B80
08C0008ADB	谀	諛	U+8C00	U+8ADB
08C0208AD7	谂	諗	U+8C02	U+8AD7
08C0308ABF	调	調	U+8C03	U+8ABF
08C0508AD2	谅	諒	U+8C05	U+8AD2
08C0A08ABC	谊	誼	U+8C0A	U+8ABC
08C0D08ADC	谍	諜	U+8C0D	U+8ADC
08C1008AE7	谐	諧	U+8C10	U+8AE7
08C1308B02	谓	謂	U+8C13	U+8B02
08C1908AF3	谙	諳	U+8C19	U+8AF3
08C1A08AFA	谚	諺	U+8C1A	U+8AFA
08C1C08B0E	谜	謎	U+8C1C	U+8B0E
08C2208B1D	谢	謝	U+8C22	U+8B1D
08C2408B17	谤	謗	U+8C24	U+8B17
08C3108B5C	谱	譜	U+8C31	U+8B5C
08C3208B4E	谲	譎	U+8C32	U+8B4E
08C3708C37	谷	谷	U+8C37	U+8C37
08C3C08C3C	谼	谼	U+8C3C	U+8C3C
08C3D08C3D	谽	谽	U+8C3D	U+8C3D
08C4708C47	豇	豇	U+8C47	U+8C47
08C4808C48	豈	豈	U+8C48	U+8C48
08C4A08C4A	豊	豊	U+8C4A	U+8C4A
08C5508C55	豕	豕	U+8C55	U+8C55
08C6108C61	象	象	U+8C61	U+8C61
08C6208C62	豢	豢	U+8C62	U+8C62
08C6A08C6A	豪	豪	U+8C6A	U+8C6A
08C6B08C6B	豫	豫	U+8C6B	U+8C6B
08C6C0732A	豬	猪	U+8C6C	U+732A
08C8208C82	貂	貂	U+8C82	U+8C82
08C8308C8A	貃	貊	U+8C83	U+8C8A
08C8508C85	貅	貅	U+8C85	U+8C85
08C8908C89	貉	貉	U+8C89	U+8C89
08C8A08C8A	貊	貊	U+8C8A	U+8C8A
08C8D08C8D	貍	貍	U+8C8D	U+8C8D
08C9D08C9D	貝	貝	U+8C9D	U+8C9D
08C9E08C9E	貞	貞	U+8C9E	U+8C9E
08C9F054E1	貟	員	U+8C9F	U+54E1
08CA008CA0	負	負	U+8CA0	U+8CA0
08CA208CA2	貢	貢	U+8CA2	U+8CA2
08CA808CA8	貨	貨	U+8CA8	U+8CA8
08CAA08CAA	貪	貪	U+8CAA	U+8CAA
08CAB08CAB	貫	貫	U+8CAB	U+8CAB
08CAC08CAC	責	責	U+8CAC	U+8CAC
08CAE08CB3	貮	貳	U+8CAE	U+8CB3
08CB008CB0	貰	貰	U+8CB0	U+8CB0
08CB308CB3	貳	貳	U+8CB3	U+8CB3
08CB408CB4	貴	貴	U+8CB4	U+8CB4
08CBA08CBA	貺	貺	U+8CBA	U+8CBA
08CC208CC2	賂	賂	U+8CC2	U+8CC2
08CC408CC4	賄	賄	U+8CC4	U+8CC4
08CC508CC5	賅	賅	U+8CC5	U+8CC5
08CC708CC7	資	資	U+8CC7	U+8CC7
08CCA08CCA	賊	賊	U+8CCA	U+8CCA
08CD208CD2	賒	賒	U+8CD2	U+8CD2
08CD508CD5	賕	賕	U+8CD5	U+8CD5
08CD608CD2	賖	賒	U+8CD6	U+8CD2
08CD908CD9	賙	賙	U+8CD9	U+8CD9
08CDA08CDA	賚	賚	U+8CDA	U+8CDA
08CDB08D0A	賛	贊	U+8CDB	U+8D0A
08CE108CE1	賡	賡	U+8CE1	U+8CE1
08CE208CE2	賢	賢	U+8CE2	U+8CE2
08CEB08CEB	賫	賫	U+8CEB	U+8CEB
08CED08CED	賭	賭	U+8CED	U+8CED
08CF408CF4	賴	賴	U+8CF4	U+8CF4
08CF708CEB	賷	賫	U+8CF7	U+8CEB
08CF808CF8	賸	賸	U+8CF8	U+8CF8
08D0708D07	贇	贇	U+8D07	U+8D07
08D0A08D0A	贊	贊	U+8D0A	U+8D0A
08D0F08D0F	贏	贏	U+8D0F	U+8D0F
08D1308D1C	贓	贜	U+8D13	U+8D1C
08D1408D14	贔	贔	U+8D14	U+8D14
08D1608D16	贖	贖	U+8D16	U+8D16
08D1C08D1C	贜	贜	U+8D1C	U+8D1C
08D1D08C9D	贝	貝	U+8D1D	U+8C9D
08D1E08C9E	贞	貞	U+8D1E	U+8C9E
08D1F08CA0	负	負	U+8D1F	U+8CA0
08D2108CA2	贡	貢	U+8D21	U+8CA2
08D2308CAC	责	責	U+8D23	U+8CAC
08D2408CE2	贤	賢	U+8D24	U+8CE2
08D2506557	败	敗	U+8D25	U+6557
08D2708CA8	货	貨	U+8D27	U+8CA8
08D2A08CAA	贪	貪	U+8D2A	U+8CAA
08D2F08CAB	贯	貫	U+8D2F	U+8CAB
08D3008CB3	贰	貳	U+8D30	U+8CB3
08D3308CB0	贳	貰	U+8D33	U+8CB0
08D3508CB4	贵	貴	U+8D35	U+8CB4
08D3608CBA	贶	貺	U+8D36	U+8CBA
08D3C08CCA	贼	賊	U+8D3C	U+8CCA
08D3F08CC4	贿	賄	U+8D3F	U+8CC4
08D4208CC2	赂	賂	U+8D42	U+8CC2
08D4308D1C	赃	贜	U+8D43	U+8D1C
08D4408CC7	资	資	U+8D44	U+8CC7
08D4508CC5	赅	賅	U+8D45	U+8CC5
08D4708CD5	赇	賕	U+8D47	U+8CD5
08D4908CDA	赉	賚	U+8D49	U+8CDA
08D4A08CD2	赊	賒	U+8D4A	U+8CD2
08D4C08CED	赌	賭	U+8D4C	U+8CED
08D4D08CEB	赍	賫	U+8D4D	U+8CEB
08D4E08D16	赎	贖	U+8D4E	U+8D16
08D5108D14	赑	贔	U+8D51	U+8D14
08D5208CD9	赒	賙	U+8D52	U+8CD9
08D5308CE1	赓	賡	U+8D53	U+8CE1
08D5608CF4	赖	賴	U+8D56	U+8CF4
08D5E08D0A	赞	贊	U+8D5E	U+8D0A
08D5F08D07	赟	贇	U+8D5F	U+8D07
08D6208D0F	赢	贏	U+8D62	U+8D0F
08D6408D64	赤	赤	U+8D64	U+8D64
08D6608D66	赦	赦	U+8D66	U+8D66
08D6908D69	赩	赩	U+8D69	U+8D69
08D6A08D6C	赪	赬	U+8D6A	U+8D6C
08D6B08D6B	赫	赫	U+8D6B	U+8D6B
08D6C08D6C	赬	赬	U+8D6C	U+8D6C
08D6D08D6D	赭	赭	U+8D6D	U+8D6D
08D6F08D6F	赯	赯	U+8D6F	U+8D6F
08D7008D70	走	走	U+8D70	U+8D70
08D7308D73	赳	赳	U+8D73	U+8D73
08D7508D99	赵	趙	U+8D75	U+8D99
08D7608D76	赶	赶	U+8D76	U+8D76
08D7608D95	赶	趕	U+8D76	U+8D95
08D7708D77	起	起	U+8D77	U+8D77
08D8A08D8A	越	越	U+8D8A	U+8D8A
08D9108D91	趑	趑	U+8D91	U+8D91
08D9508D95	趕	趕	U+8D95	U+8D95
08D9708D97	趗	趗	U+8D97	U+8D97
08D9908D99	趙	趙	U+8D99	U+8D99
08DAF08DAF	趯	趯	U+8DAF	U+8DAF
08DB308DB3	足	足	U+8DB3	U+8DB3
08DBC08DBC	趼	趼	U+8DBC	U+8DBC
08DBE08DBE	趾	趾	U+8DBE	U+8DBE
08DC308E8D	跃	躍	U+8DC3	U+8E8D
08DC708DC7	跇	跇	U+8DC7	U+8DC7
08DCC08DCC	跌	跌	U+8DCC	U+8DCC
08DCF08DCF	跏	跏	U+8DCF	U+8DCF
08DD108DD1	跑	跑	U+8DD1	U+8DD1
08DD408DD4	跔	跔	U+8DD4	U+8DD4
08DD608DD6	跖	跖	U+8DD6	U+8DD6
08DD608E60	跖	蹠	U+8DD6	U+8E60
08DDD08DDD	距	距	U+8DDD	U+8DDD
08DE008DE0	跠	跠	U+8DE0	U+8DE0
08DE108DE1	跡	跡	U+8DE1	U+8DE1
08DE308DE3	跣	跣	U+8DE3	U+8DE3
08DE408DE4	跤	跤	U+8DE4	U+8DE4
08DE608DE6	跦	跦	U+8DE6	U+8DE6
08DE908DE9	跩	跩	U+8DE9	U+8DE9
08DEB08DEB	跫	跫	U+8DEB	U+8DEB
08DEF08DEF	路	路	U+8DEF	U+8DEF
08DF108DF1	跱	跱	U+8DF1	U+8DF1
08DF308DF3	跳	跳	U+8DF3	U+8DF3
08DF808E55	跸	蹕	U+8DF8	U+8E55
08DFC08DFC	跼	跼	U+8DFC	U+8DFC
08DFD08DFD	跽	跽	U+8DFD	U+8DFD
08E0608E06	踆	踆	U+8E06	U+8E06
08E0908E09	踉	踉	U+8E09	U+8E09
08E0A08E0A	踊	踊	U+8E0A	U+8E0A
08E0A08E34	踊	踴	U+8E0A	U+8E34
08E0C08E8A	踌	躊	U+8E0C	U+8E8A
08E1E08E1E	踞	踞	U+8E1E	U+8E1E
08E3108E31	踱	踱	U+8E31	U+8E31
08E3408E0A	踴	踊	U+8E34	U+8E0A
08E3408E34	踴	踴	U+8E34	U+8E34
08E3D08E3D	踽	踽	U+8E3D	U+8E3D
08E4008E40	蹀	蹀	U+8E40	U+8E40
08E4708E47	蹇	蹇	U+8E47	U+8E47
08E4808E48	蹈	蹈	U+8E48	U+8E48
08E4908E49	蹉	蹉	U+8E49	U+8E49
08E5008E50	蹐	蹐	U+8E50	U+8E50
08E5508E55	蹕	蹕	U+8E55	U+8E55
08E5C08E5C	蹜	蹜	U+8E5C	U+8E5C
08E5F08E5F	蹟	蹟	U+8E5F	U+8E5F
08E6008E60	蹠	蹠	U+8E60	U+8E60
08E6108E61	蹡	蹡	U+8E61	U+8E61
08E7008E70	蹰	蹰	U+8E70	U+8E70
08E7208E72	蹲	蹲	U+8E72	U+8E72
08E7608E76	蹶	蹶	U+8E76	U+8E76
08E7708E76	蹷	蹶	U+8E77	U+8E76
08E8708E87	躇	躇	U+8E87	U+8E87
08E8A08E8A	躊	躊	U+8E8A	U+8E8A
08E8D08E8D	躍	躍	U+8E8D	U+8E8D
08E8F08EAA	躏	躪	U+8E8F	U+8EAA
08E9008E90	躐	躐	U+8E90	U+8E90
08E9408E94	躔	躔	U+8E94	U+8E94
08E9508E70	躕	蹰	U+8E95	U+8E70
08E9708E97	躗	躗	U+8E97	U+8E97
08E9908EAA	躙	躪	U+8E99	U+8EAA
08E9B08E97	躛	躗	U+8E9B	U+8E97
08E9E08E9E	躞	躞	U+8E9E	U+8E9E
08EAA08EAA	躪	躪	U+8EAA	U+8EAA
08EAB08EAB	身	身	U+8EAB	U+8EAB
08EAC08EAC	躬	躬	U+8EAC	U+8EAC
08EAC08EB3	躬	躳	U+8EAC	U+8EB3
08EB008EB0	躰	躰	U+8EB0	U+8EB0
08EB308EB3	躳	躳	U+8EB3	U+8EB3
08EC609AD4	軆	體	U+8EC6	U+9AD4
08ECA08ECA	車	車	U+8ECA	U+8ECA
08ECC08ECC	軌	軌	U+8ECC	U+8ECC
08ECD08ECD	軍	軍	U+8ECD	U+8ECD
08ED108ED1	軑	軑	U+8ED1	U+8ED1
08ED208ED2	軒	軒	U+8ED2	U+8ED2
08EDD08EDD	軝	軝	U+8EDD	U+8EDD
08EF808EF8	軸	軸	U+8EF8	U+8EF8
08EFB08EFB	軻	軻	U+8EFB	U+8EFB
08EFC08EFC	軼	軼	U+8EFC	U+8EFC
08F0308F03	較	較	U+8F03	U+8F03
08F0508F05	輅	輅	U+8F05	U+8F05
08F0708F07	輇	輇	U+8F07	U+8F07
08F0808F08	輈	輈	U+8F08	U+8F08
08F0A08F0A	輊	輊	U+8F0A	U+8F0A
08F1E08F1E	輞	輞	U+8F1E	U+8F1E
08F2608F26	輦	輦	U+8F26	U+8F26
08F4408F44	轄	轄	U+8F44	U+8F44
08F4508F45	轅	轅	U+8F45	U+8F45
08F4608F46	轆	轆	U+8F46	U+8F46
08F5608F56	轖	轖	U+8F56	U+8F56
08F5E08F5E	轞	轞	U+8F5E	U+8F5E
08F6408F64	轤	轤	U+8F64	U+8F64
08F6608ECA	车	車	U+8F66	U+8ECA
08F6808ECC	轨	軌	U+8F68	U+8ECC
08F6908ED2	轩	軒	U+8F69	U+8ED2
08F6A08ED1	轪	軑	U+8F6A	U+8ED1
08F7208EFB	轲	軻	U+8F72	U+8EFB
08F7308F64	轳	轤	U+8F73	U+8F64
08F7408EF8	轴	軸	U+8F74	U+8EF8
08F7608EFC	轶	軼	U+8F76	U+8EFC
08F7E08F0A	轾	輊	U+8F7E	U+8F0A
08F8008F08	辀	輈	U+8F80	U+8F08
08F8108F07	辁	輇	U+8F81	U+8F07
08F8208F05	辂	輅	U+8F82	U+8F05
08F8308F03	较	較	U+8F83	U+8F03
08F8708F26	辇	輦	U+8F87	U+8F26
08F8B08F1E	辋	輞	U+8F8B	U+8F1E
08F9508F45	辕	轅	U+8F95	U+8F45
08F9608F44	辖	轄	U+8F96	U+8F44
08F9808F46	辘	轆	U+8F98	U+8F46
08F9B08F9B	辛	辛	U+8F9B	U+8F9B
08F9C08F9C	辜	辜	U+8F9C	U+8F9C
08F9E08FAD	辞	辭	U+8F9E	U+8FAD
08FA208FA3	辢	辣	U+8FA2	U+8FA3
08FA308FA3	辣	辣	U+8FA3	U+8FA3
08FA408FAD	辤	辭	U+8FA4	U+8FAD
08FAD08FAD	辭	辭	U+8FAD	U+8FAD
08FB108FB1	辱	辱	U+8FB1	U+8FB1
08FB508FB5	辵	辵	U+8FB5	U+8FB5
08FB90908A	边	邊	U+8FB9	U+908A
08FBA0908A	辺	邊	U+8FBA	U+908A
08FBB08FBB	辻	辻	U+8FBB	U+8FBB
08FBC08FBC	込	込	U+8FBC	U+8FBC
08FBD0907C	辽	遼	U+8FBD	U+907C
08FBE08FBE	达	达	U+8FBE	U+8FBE
08FC108FC1	迁	迁	U+8FC1	U+8FC1
08FC109077	迁	遷	U+8FC1	U+9077
08FC208FC2	迂	迂	U+8FC2	U+8FC2
08FC408FC4	迄	迄	U+8FC4	U+8FC4
08FC809081	迈	邁	U+8FC8	U+9081
08FD00904B	运	運	U+8FD0	U+904B
08FD508FD5	迕	迕	U+8FD5	U+8FD5
08FD608FBE	迖	达	U+8FD6	U+8FBE
08FD809084	还	還	U+8FD8	U+9084
08FD909019	这	這	U+8FD9	U+9019
08FDC09060	远	遠	U+8FDC	U+9060
08FDE09023	连	連	U+8FDE	U+9023
08FEA08FEA	迪	迪	U+8FEA	U+8FEA
08FEB08FEB	迫	迫	U+8FEB	U+8FEB
08FED08FED	迭	迭	U+8FED	U+8FED
08FF008FF0	述	述	U+8FF0	U+8FF0
08FF405EFB	迴	廻	U+8FF4	U+5EFB
08FF408FF4	迴	迴	U+8FF4	U+8FF4
08FF508FF5	迵	迵	U+8FF5	U+8FF5
08FF708FF7	迷	迷	U+8FF7	U+8FF7
08FF908DE1	迹	跡	U+8FF9	U+8DE1
08FF908E5F	迹	蹟	U+8FF9	U+8E5F
08FF908FF9	迹	迹	U+8FF9	U+8FF9
08FFD08FFD	追	追	U+8FFD	U+8FFD
0900009000	退	退	U+9000	U+9000
0900109001	送	送	U+9001	U+9001
0900309003	逃	逃	U+9003	U+9003
0900509005	逅	逅	U+9005	U+9005
0900609006	逆	逆	U+9006	U+9006
0900D0900D	逍	逍	U+900D	U+900D
0900F0900F	透	透	U+900F	U+900F
0901109011	逑	逑	U+9011	U+9011
0901409014	途	途	U+9014	U+9014
0901609016	逖	逖	U+9016	U+9016
0901909019	這	這	U+9019	U+9019
0901A0901A	通	通	U+901A	U+901A
0901B0901B	逛	逛	U+901B	U+901B
0901E0901E	逞	逞	U+901E	U+901E
0901F0901F	速	速	U+901F	U+901F
0902009020	造	造	U+9020	U+9020
0902109021	逡	逡	U+9021	U+9021
0902309023	連	連	U+9023	U+9023
0902508FF4	逥	迴	U+9025	U+8FF4
0903109031	週	週	U+9031	U+9031
0903509035	逵	逵	U+9035	U+9035
0903709037	逷	逷	U+9037	U+9037
0903809038	逸	逸	U+9038	U+9038
0903C0506A	逼	偪	U+903C	U+506A
0903C0903C	逼	逼	U+903C	U+903C
0904209042	遂	遂	U+9042	U+9042
0904905075	遉	偵	U+9049	U+5075
0904A0904A	遊	遊	U+904A	U+904A
0904B0904B	運	運	U+904B	U+904B
0905109051	遑	遑	U+9051	U+9051
0905309053	道	道	U+9053	U+9053
090570907A	遗	遺	U+9057	U+907A
0906009060	遠	遠	U+9060	U+9060
0906309063	遣	遣	U+9063	U+9063
0906809068	遨	遨	U+9068	U+9068
0906E0906E	遮	遮	U+906E	U+906E
0907509075	遵	遵	U+9075	U+9075
0907709077	遷	遷	U+9077	U+9077
0907A0907A	遺	遺	U+907A	U+907A
0907C0907C	遼	遼	U+907C	U+907C
0908109081	邁	邁	U+9081	U+9081
0908309083	邃	邃	U+9083	U+9083
0908409084	還	還	U+9084	U+9084
0908509085	邅	邅	U+9085	U+9085
0908A0908A	邊	邊	U+908A	U+908A
0908D0908D	邍	邍	U+908D	U+908D
0909109091	邑	邑	U+9091	U+9091
0909509095	邕	邕	U+9095	U+9095
0909709097	邗	邗	U+9097	U+9097
0909809098	邘	邘	U+9098	U+9098
0909909099	邙	邙	U+9099	U+9099
0909B0909B	邛	邛	U+909B	U+909B
0909D0913A	邝	鄺	U+909D	U+913A
090A1090A1	邡	邡	U+90A1	U+90A1
090A2090A2	邢	邢	U+90A2	U+90A2
090AE090AE	邮	邮	U+90AE	U+90AE
090AE090F5	邮	郵	U+90AE	U+90F5
090AF090AF	邯	邯	U+90AF	U+90AF
090B1090B1	邱	邱	U+90B1	U+90B1
090BA09134	邺	鄴	U+90BA	U+9134
090BD090BD	邽	邽	U+90BD	U+90BD
090BE090BE	邾	邾	U+90BE	U+90BE
090BF090BF	邿	邿	U+90BF	U+90BF
090C1090C1	郁	郁	U+90C1	U+90C1
090C109B31	郁	鬱	U+90C1	U+9B31
090C3090C3	郃	郃	U+90C3	U+90C3
090C5090C5	郅	郅	U+90C5	U+90C5
090C8090C8	郈	郈	U+90C8	U+90C8
090C9090A2	郉	邢	U+90C9	U+90A2
090CA090CA	郊	郊	U+90CA	U+90CA
090CE090CE	郎	郎	U+90CE	U+90CE
090D009136	郐	鄶	U+90D0	U+9136
090D10912D	郑	鄭	U+90D1	U+912D
090D309106	郓	鄆	U+90D3	U+9106
090DA090DA	郚	郚	U+90DA	U+90DA
090DB090DB	郛	郛	U+90DB	U+90DB
090DD090DD	郝	郝	U+90DD	U+90DD
090E1090E1	郡	郡	U+90E1	U+90E1
090E2090E2	郢	郢	U+90E2	U+90E2
090E709116	郧	鄖	U+90E7	U+9116
090ED090ED	郭	郭	U+90ED	U+90ED
090F2090F2	郲	郲	U+90F2	U+90F2
090F4090F4	郴	郴	U+90F4	U+90F4
090F5090F5	郵	郵	U+90F5	U+90F5
090F709109	郷	鄉	U+90F7	U+9109
090FD090FD	都	都	U+90FD	U+90FD
0910009100	鄀	鄀	U+9100	U+9100
0910609106	鄆	鄆	U+9106	U+9106
0910909109	鄉	鄉	U+9109	U+9109
0910909115	鄉	鄕	U+9109	U+9115
0911509109	鄕	鄉	U+9115	U+9109
0911609116	鄖	鄖	U+9116	U+9116
0911809118	鄘	鄘	U+9118	U+9118
0911C0911C	鄜	鄜	U+911C	U+911C
0912D0912D	鄭	鄭	U+912D	U+912D
0913409134	鄴	鄴	U+9134	U+9134
0913609136	鄶	鄶	U+9136	U+9136
0913A0913A	鄺	鄺	U+913A	U+913A
0914A0914A	酊	酊	U+914A	U+914A
0914C0914C	酌	酌	U+914C	U+914C
0914D0914D	配	配	U+914D	U+914D
0914E0914E	酎	酎	U+914E	U+914E
0915309153	酓	酓	U+9153	U+9153
0915709157	酗	酗	U+9157	U+9157
0915809158	酘	酘	U+9158	U+9158
0916409164	酤	酤	U+9164	U+9164
0916509165	酥	酥	U+9165	U+9165
0916709167	酧	酧	U+9167	U+9167
0916909169	酩	酩	U+9169	U+9169
0916A0916A	酪	酪	U+916A	U+916A
0916C09167	酬	酧	U+916C	U+9167
0916C0916C	酬	酬	U+916C	U+916C
0916E0916E	酮	酮	U+916E	U+916E
09171091AC	酱	醬	U+9171	U+91AC
0917209172	酲	酲	U+9172	U+9172
0917409174	酴	酴	U+9174	U+9174
0917509175	酵	酵	U+9175	U+9175
0917709177	酷	酷	U+9177	U+9177
0917809178	酸	酸	U+9178	U+9178
0919009190	醐	醐	U+9190	U+9190
0919209192	醒	醒	U+9192	U+9192
0919C0919C	醜	醜	U+919C	U+919C
0919D0919D	醝	醝	U+919D	U+919D
091A2091A2	醢	醢	U+91A2	U+91A2
091A4091AC	醤	醬	U+91A4	U+91AC
091AB091AB	醫	醫	U+91AB	U+91AB
091AC091AC	醬	醬	U+91AC	U+91AC
091B4091B4	醴	醴	U+91B4	U+91B4
091B7091B7	醷	醷	U+91B7	U+91B7
091C2091C2	釂	釂	U+91C2	U+91C2
091C7091C7	采	采	U+91C7	U+91C7
091C9091C9	釉	釉	U+91C9	U+91C9
091CC088CF	里	裏	U+91CC	U+88CF
091CC091CC	里	里	U+91CC	U+91CC
091CD091CD	重	重	U+91CD	U+91CD
091CE057DC	野	埜	U+91CE	U+57DC
091CE091CE	野	野	U+91CE	U+91CE
091CF091CF	量	量	U+91CF	U+91CF
